FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
170784110;SSR CH LA ROCHELLE;17022;LA ROCHELLE;Public;46.158141;-1.171305
170785661;HOPITAL DE JOUR - CAMPE - CSAPA;17400;ST JEAN D ANGELY;Public;45.942656;-0.520135
170786388;HOPITAL DE JOUR PEDO-PSY ROCHEFORT;17300;ROCHEFORT;Public;45.934822;-0.964953
170792220;CH SAINTONGE - SSR;17108;SAINTES;Public;45.748804;-0.647217
180000010;CH  BOURGES - JACQUES COEUR;18020;BOURGES;Public;47.085078;2.438608
180000200;CH DE VIERZON;18102;VIERZON;Public;47.214792;2.140981
180000283;CH SAINT AMAND-MONTROND;18200;ST AMAND MONTROND;Public;46.725317;2.495688
180000333;CH SANCERRE;18300;SANCERRE;Public;47.333413;2.838961
180003287;CH DE BOURGES SITE TAILLEGRAIN;18000;BOURGES;Public;47.093283;2.395218
180003345;CH DE VIERZON SITE LA NOUE;18100;VIERZON;Public;47.210723;2.062808
180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;18200;ST AMAND MONTROND;Public;46.738449;2.507100
190000018;CENTRE HOSPITALIER DUBOIS BRIVE;19312;BRIVE LA GAILLARDE;Public;45.148038;1.517353
190000026;CENTRE HOSPITALIER COEUR DE CORREZE;19012;TULLE;Public;45.270938;1.770862
190000034;HOPITAL LOCAL DE BORT LES ORGUES;19110;BORT LES ORGUES;Public;45.392724;2.497296
190000091;CENTRE HOSPITALIER D'USSEL;19208;USSEL;Public;45.654978;2.465612
190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;19000;TULLE;Public;45.284064;1.767424
190005199;UNITE SCOLAIRE THERAPEUTIQUE;19100;BRIVE LA GAILLARDE;Public;45.152134;1.517053
190010892;CH TULLE - ANTENNE SMUR USSEL;19200;USSEL;Public;45.544219;2.312738
190011072;CIDAG DU VIH ET DES HEPATITES;19100;BRIVE LA GAILLARDE;Public;45.168256;1.536205
190011106;CEGIDD - ANTENNE D'USSEL;19200;USSEL;Public;45.544219;2.312738
190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;19000;TULLE;Public;45.284064;1.767424
